name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;422;0;616;3241;1326;3241;1277;0
header;304;214;304;251;1951;251;1951;214
A;1113;271;1113;301;1138;301;1138;271
B;1117;945;1117;974;1142;974;1142;945
D;1088;970;1088;988;1102;988;1102;970
A;1217;1122;1217;1129;1224;1129;1224;1122
B;644;1291;644;1310;659;1310;659;1291
A;622;1462;622;1463;622;1463;622;1462
C;1118;1617;1118;1648;1141;1648;1141;1617
A;1252;1701;1252;1725;1266;1725;1266;1701
A;1130;1874;1130;1874;1130;1874;1130;1874
D;1122;2320;1122;2350;1148;2350;1148;2320
A;776;2796;776;2796;776;2796;776;2796
