name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;421;0;421;3281;1042;3281;1017;0
header;179;230;179;271;1807;271;1807;230
A;980;294;980;319;1001;319;1001;294
A;510;748;510;772;524;772;524;748
B;984;964;984;993;1006;993;1006;964
B;594;1197;594;1223;623;1223;623;1197
A;799;1425;799;1449;813;1449;813;1425
C;989;1636;989;1662;1009;1662;1009;1636
B;443;1923;443;1948;456;1948;456;1923
D;989;2301;989;2329;1014;2329;1014;2301
A;572;2611;572;2617;579;2617;579;2611
A;618;2681;618;2707;628;2707;628;2681
